RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        10285     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.002D-01  1.260D+02
    1    4     1     0  ---    2  1.4D+00  2.1D+01  1.003D-01  2.025D+01
    2    6     0     0  con    1  5.0D+00  1.1D+01  1.768D-01  4.234D+00
    3    8     0     0  con    1  2.8D-02  2.9D-01  1.394D-01  3.964D+00
    4   10     0     0  con    1  2.6D-01  5.1D-01  7.911D-02  3.793D+00
    5   12     0     0  con    1  2.6D-01  3.6D-01  4.474D-02  3.626D+00
    6   13     0     0  con    0  1.0D+00  2.3D-01  2.837D-02  3.591D+00
    7   14     0     0  con    0  1.0D+00  9.4D-02  6.216D-03  3.583D+00
    8   15     0     0  con    0  1.0D+00  1.7D-02  1.502D-03  3.582D+00
    9   16     0     0  con    0  1.0D+00  9.7D-03  6.408D-04  3.582D+00
   10   17     0     0  con    0  1.0D+00  1.4D-02  1.619D-03  3.582D+00
   11   18     0     0  con    0  1.0D+00  6.4D-02  4.162D-03  3.582D+00
   12   19     0     0  con    0  1.0D+00  1.6D-01  7.648D-03  3.581D+00
   13   20     0     0  con    0  1.0D+00  4.7D-01  1.386D-02  3.578D+00
   14   21     0     0  con    0  1.0D+00  1.2D+00  2.328D-02  3.570D+00
   15   22     0     0  con    0  1.0D+00  3.2D+00  3.716D-02  3.551D+00
   16   23     0     0  con    0  1.0D+00  7.6D+00  5.416D-02  3.508D+00
   17   24     0     0  con    0  1.0D+00  1.5D+01  6.743D-02  3.432D+00
   18   25     0     0  con    0  1.0D+00  1.9D+01  1.209D-01  3.371D+00
   19   27     0     0  con    1  2.9D-01  3.8D+00  9.324D-02  3.336D+00
   20   28     0     0  con    0  1.0D+00  6.2D+00  2.681D-02  3.286D+00
   21   29     0     0  con    0  1.0D+00  4.7D+00  8.689D-03  3.260D+00
   22   31     0     0  con    1  3.4D-01  1.7D+00  8.210D-03  3.257D+00
   23   32     0     0  con    0  1.0D+00  9.1D-01  5.875D-03  3.256D+00
   24   33     0     0  con    0  1.0D+00  1.9D-01  6.364D-03  3.256D+00
   25   34     0     0  con    0  1.0D+00  1.9D+00  8.116D-03  3.254D+00
   26   35     0     0  con    0  1.0D+00  1.6D+00  1.367D-02  3.250D+00
   27   37     0     0  con    1  4.3D-01  1.7D-01  1.769D-02  3.248D+00
